[2026-09-21 14:05:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 14:01:01 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 13:55:26 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 13:50:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 13:45:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 13:40:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 13:35:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 13:30:47 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 13:25:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 13:20:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 13:15:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 13:10:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 13:05:26 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 13:01:00 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 12:55:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 12:50:33 UTC] Notification sent: Út 13:30 - 15:00 - Lezení na stěně (Roman Tomčík, Lezecká stěna Juliska) - 1 free spot(s)
[2026-09-21 12:50:32 UTC] Checked 22 classes, 1 free spot(s) total, NEW: 1
[2026-09-21 12:45:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 12:40:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 12:35:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 12:30:47 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 12:25:23 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 12:20:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 12:15:34 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 12:10:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 12:06:00 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 12:00:56 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 11:55:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 11:50:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 11:45:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 11:40:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 11:35:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 11:30:47 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 11:25:26 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 11:21:08 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 11:15:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 11:10:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 11:05:23 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 11:00:57 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 10:55:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 10:51:09 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 10:45:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 10:40:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 10:35:27 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 10:30:45 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 10:25:27 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 10:20:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 10:15:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 10:10:41 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 10:05:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 10:00:55 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 09:55:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 09:50:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 09:46:06 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 09:40:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 09:35:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 09:30:45 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 09:25:57 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 09:20:35 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 09:15:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 09:10:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 09:05:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 09:00:58 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 08:55:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 08:50:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 08:45:29 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 08:40:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 08:35:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 08:30:44 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 08:25:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 08:20:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 08:15:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 08:10:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 08:05:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 08:00:54 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 07:55:22 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 07:50:34 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 07:45:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 07:41:07 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 07:35:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 07:30:44 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 07:25:27 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 07:20:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 07:15:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 07:10:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 07:05:27 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 07:00:54 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 06:55:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 06:50:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 06:45:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 06:40:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 06:35:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 06:30:44 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 06:25:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 06:20:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 06:15:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 06:10:29 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 06:05:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 06:00:56 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 05:55:22 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 05:50:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 05:45:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 05:40:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 05:35:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 05:30:43 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 05:25:23 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 05:20:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 05:15:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 05:10:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 05:05:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 05:00:53 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 04:55:23 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 04:50:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 04:45:32 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 04:40:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 04:35:23 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 04:30:42 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 04:25:26 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 04:20:32 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 04:15:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 04:11:07 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 04:05:27 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 04:01:00 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 03:55:26 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 03:50:30 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 03:45:32 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 03:40:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 03:35:25 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 03:30:44 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 03:25:23 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 03:20:30 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 03:15:30 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 03:10:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 03:05:23 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 03:00:58 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 02:55:22 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 02:51:07 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 02:45:32 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 02:40:30 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 02:35:25 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 02:30:45 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 02:25:25 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 02:20:32 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 02:15:29 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 02:10:30 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 02:05:24 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 02:00:53 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 01:55:25 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 01:50:29 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 01:45:28 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 01:40:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 01:35:27 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 01:30:43 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 01:25:25 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 01:20:30 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 01:15:32 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 01:10:32 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 01:06:00 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 01:00:51 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 00:55:23 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 00:50:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 00:45:32 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 00:40:30 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 00:35:42 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 00:30:42 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 00:25:24 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 00:20:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 00:15:30 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 00:10:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-21 00:05:24 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-21 00:00:56 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 23:55:21 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 23:50:31 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 23:45:30 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 23:40:31 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 23:35:24 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 23:30:42 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 23:25:24 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 23:20:33 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 23:15:30 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 23:10:31 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 23:05:25 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 23:00:53 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 22:55:26 UTC] Notification sent: Po 18:00 - 19:30 - Lezení na stěně (Michaela Dubská, Lezecká stěna Juliska) - 1 free spot(s)
[2026-09-20 22:55:26 UTC] Checked 22 classes, 2 free spot(s) total, NEW: 1
[2026-09-20 22:50:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 22:45:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 22:40:32 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 22:35:24 UTC] Notification sent: Út 08:00 - 09:30 - Lezení na stěně (Martin Wágner, Lezecká stěna Juliska) - 1 free spot(s)
[2026-09-20 22:35:23 UTC] Checked 22 classes, 1 free spot(s) total, NEW: 1
[2026-09-20 22:30:41 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 22:25:22 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 22:20:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 22:15:28 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 22:10:35 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 22:05:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 22:00:55 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 21:55:23 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 21:50:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 21:45:29 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 21:40:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 21:35:22 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 21:30:43 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 21:25:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 21:20:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 21:15:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 21:10:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 21:05:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 21:00:53 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 20:55:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 20:50:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 20:45:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 20:40:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 20:35:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 20:30:44 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 20:25:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 20:20:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 20:15:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 20:10:30 UTC] Checked 22 classes, 0 free spot(s) total
